Country Name,GDP (current US$),Surface area (sq. km),"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
Libya,81873662518.8238,1759540,71.901,3.74560382719202,0.611386604684116,19.0300006866455,8.98067011905199
Lithuania,42927454291.478,65300,73.8634146341464,0.765265810142739,-1.34120198821595,13.3599996566772,2.73425349368634
Luxembourg,59776383527.3602,2590,81.3926829268293,0.428237494657179,2.40154189982875,5.1399998664856,3.26597731840673
Madagascar,11578974887.9668,587295,64.28,0.691911720835185,2.73395412201523,0.600000023841858,5.46617486767377
Malaysia,314443149443.149,330800,74.877,1.41333070740643,1.44573944701104,3.09999990463257,0.999932303470885
Malta,9462238211.48657,320,80.7463414634146,0.527587899389015,0.899209211902256,6.19999980926514,2.14609549393094
Mauritania,6728208836.22143,1030700,63.079,2.26164145872259,2.95452101978226,9.85999965667725,0.455837170404166
Mauritius,11668685524.1265,2040,73.8634146341464,0.14279440115901,0.277321025514609,7.46999979019165,2.46552355729885
Moldova,8709165249.26928,33850,70.581,0.27407991661782,-0.0131135135644405,5.57999992370605,7.42422187173773
Mongolia,12292770631.1967,1564120,68.217,0.924305618490081,1.94252634677933,3.90000009536743,12.7843788549037
Montenegro,4087725812.66864,13810,76.2,1.65646333448269,0.0841474080023094,19.8099994659424,0.177016999632059
Morocco,98266306615.3632,446550,74.97,3.46275007931538,1.39357546150501,8.98999977111816,0.369335229674476
Namibia,13042007432.4489,824290,59.387,3.16651318521045,1.75020985003618,16.7700004577637,11.2603084734349
New Zealand,176206659722.524,267710,81.1560975609756,1.19696240267375,0.548220797298334,6.92999982833862,-0.141931989805173
Nicaragua,10532006608.1447,130370,72.951,0.665903553823136,1.33769299842878,5.21000003814697,6.24411108341518
Niger,9426913349.22319,1267000,58.79,2.14435698352175,3.89874303777256,2.1800000667572,5.30833937222272
North Macedonia,9745251126.0109,25710,74.9024390243903,1.22531966171625,0.121614265751721,31.0200004577637,1.00299826672435
Norway,509506317146.541,385178,81.4512195121951,1.40213417236466,1.31344098868985,3.11999988555908,3.3429205789641
Panama,40429734384.2184,75420,77.188,0,1.71610529133903,3.71000003814697,6.17573398847735
Paraguay,33296438306.4747,406752,73.068,0.964179103292729,1.37243441106067,4.09000015258789,4.79827587865157
Peru,192648999090.082,1285220,74.981,1.48180390847034,0.825158485436818,3.24000000953674,1.20258494022738
Philippines,261920509949.785,300000,70.149,1.10670418975985,1.70412578861596,3.5,1.99417609662484
Poland,498523568248.119,312680,76.7463414634146,1.80271300114202,-0.000239076003298365,10.0900001525879,2.36149484385804
Portugal,216224240577.957,92210,80.3731707317073,1.91213707571497,-0.405421787747567,15.5299997329712,-0.388196360131744
Romania,170635805316.879,238390,74.4121951219512,1.23238274610421,-0.445177936198383,6.78999996185303,3.77070284203964
Serbia,43309252921.0567,88360,74.8365853658537,1.97099365573998,-0.485299545092705,24,6.19933895593788
Singapore,295087220933.024,716,81.9951219512195,3.10816619008299,2.45339033031018,3.72000002861023,0.470225826184418
Slovak Republic,94253181330.3891,49036,76.109756097561,1.07915953207208,0.170183855326072,13.960000038147,1.26011621211065
Slovenia,46577793184.0031,20270,80.1243902439024,1.16679123354242,0.210024305900448,8.84000015258789,0.479044260876066
South Africa,434400545085.811,1219090,60.06,1.1327931119157,1.58135367305518,24.7299995422363,4.68520638813985
Sri Lanka,68434409315.1123,65610,75.796,2.15519951243996,0.129846810394944,3.88000011444092,10.8284322331401
Sweden,552483727282.802,447420,81.7048780487805,1.13011028867624,0.739763272434863,7.98000001907349,1.00142202301616
Tanzania,39650530214.3287,947300,60.47,0.91379935435018,2.97566283977017,0.28999999165535,10.4838939985187
Thailand,397558222957.17,513120,74.992,1.3814115527433,0.469272819846721,0.579999983310699,1.90914444199674
Trinidad and Tobago,25763220107.0051,5130,72.382,0.662025828351234,0.644091695000638,3.72000002861023,0.34484257808522
Tunisia,47311196335.2884,163610,75.376,1.51234245359552,0.973852315022298,17.6299991607666,4.96727551561298
Uganda,27305915761.2794,241550,59.017,1.22750320387809,3.18075022852585,3.54999995231628,3.83745560594544
Ukraine,182592416468.527,603550,70.9441463414634,1.61331991729012,-0.246976481186878,7.53000020980835,7.98256111270226
Uruguay,51264390116.4909,176220,77.004,1.80366982524901,0.297840985772009,6.44999980926514,8.55755169987955
"Venezuela, RB",381286237847.667,912050,73.037,1.34147173233053,1.62394832481717,6.59999990463257,14.0594300642861
Vietnam,155820001920.492,330971,74.958,2.15688636813921,1.04162218011767,1.02999997138977,10.9260338090746
Zambia,25503060420.026,752610,58.502,1.35786863846775,3.10291403534601,7.84999990463257,6.99201628115405
